Turn,Type,CharacterId,Dialogue,CharacterNum,MCharacter,MCIllust,LCharacter,LCIllust,RCharacter,RCIllust,AnswerId,LineOffset,FigureId,PrivisoId,DiaryId,Background,EffectSound,BGM
0,,0,여기가 알약이 떨어진 곳인가?,2,,,0,0,4,0,,,,,,,,
1,,4,그래. 종류는 수면제였지.,,,,,,,,,,,,,,,
2,,,일단 너무 이상해. 곶과 수면제는 너무 동떨어진 관계잖아.,,,,,,,,,,,,,,,
3,,0,굳이 여기와서 수면제를 먹으려 했다면..,,,,,,,,,,,,,,,
4,,,사실 이유는 그거밖에 생각안나네.,,,,,,,,,,,,,,,
5,,4,….... 자살 말하는거지?,,,,,,,,,,,,,,,
6,,,"인정하기 싫지만, 확실히 그래.",,,,,,,,,,,,,,,
7,,,"이 위에서 수면제를 먹고, 뛰어내린다. ",,,,,,,,,,,,,,,
8,,,이런것만 생각이 나네,,,,,,,,,,,,,,,
9,,0,"그래. 굳이 이상한 것을 따지자면, 왜 약을 먹고 뛰어내리느냐야",,,,,,,,,,,,,,,
10,,,익사가 목표라면 굳이 약을 먹을 필요는 없어.,,,,,,,,,,,,,,,
11,,,수면제 과다 복용은 그 자체로 또 다른 방법이니까.,,,,,,,,,,,,,,,
12,,,보통 둘 중 하나만 하겠지.,,,,,,,,,,,,,,,
13,,4,뭐.. 맨정신엔 차마 못하겠다거나 그런거 아니었을까?,,,,,,,,,,,P1-0,,,,
